columnName,group1,group2,group3,group4,comments
W_CANE,SURVEY,PERSON,MEDICAL,,
W_CHAIR,SURVEY,PERSON,MEDICAL,,
W_CRUTCH,SURVEY,PERSON,MEDICAL,,
W_DOG,SURVEY,PERSON,MEDICAL,,
W_MTRCHR,SURVEY,PERSON,MEDICAL,,
W_NONE,SURVEY,PERSON,MEDICAL,,
W_SCOOTR,SURVEY,PERSON,MEDICAL,,
W_WHCANE,SURVEY,PERSON,MEDICAL,,
W_WLKR,SURVEY,PERSON,MEDICAL,,
WALK,SURVEY,HOUSEHOLD,HABITS,,
WALK_DEF,SURVEY,PERSON,PREFERENCE,,
WALK_GKQ,SURVEY,PERSON,PREFERENCE,,
WALK2SAVE,SURVEY,HOUSEHOLD,HABITS,,
WALK4EX,SURVEY,PERSON,HABITS,,
WEBUSE17,SURVEY,HOUSEHOLD,HABITS,,
WHODROVE,DROP,,,,
WHOPROXY,DROP,,,,
WHYFROM,SURVEY,JOURNEY,,,
WHYTO,SURVEY,JOURNEY,,,
WHYTRP1S,SURVEY,JOURNEY,,,
WHYTRP90,SURVEY,JOURNEY,,,
WKFMHMXX,SURVEY,PERSON,WORK,,
WKFTPT,SURVEY,PERSON,WORK,,
WKRMHM,SURVEY,PERSON,WORK,,
WKSTFIPS,SURVEY,PERSON,WORK,,
WORKER,SURVEY,PERSON,WORK,,
WRK_HOME,SURVEY,PERSON,WORK,,
WRKCOUNT,SURVEY,HOUSEHOLD,WORK,,
WRKTIME,SURVEY,PERSON,,,
WRKTRANS,SURVEY,PERSON,,,
WTHHFIN,SURVEY,HOUSEHOLD,WEIGHT,,
WTPERFIN,SURVEY,PERSON,WEIGHT,,
WTTRDFIN,SURVEY,JOURNEY,WEIGHT,,
YEARMILE,SURVEY,PERSON,HABITS,,
YOUNGCHILD,SURVEY,HOUSEHOLD,FAMILY,,
YRTOUS,SURVEY,PERSON,ORIGIN,,
